id,sku,product_name,warehouse_code,sale_date,quantity_sold,unit_price,revenue
1,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-DXB-01,2026-08-29,11,12.00,132.00
2,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-SIN-01,2026-08-29,35,24.50,857.50
3,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-DXB-01,2026-08-29,16,9.99,159.84
4,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-DXB-01,2026-08-29,11,7.50,82.50
5,SKU-PHA-505,Digital Infrared Thermometer,WH-SIN-01,2026-08-29,25,39.99,999.75
6,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-LON-01,2026-08-29,45,129.99,5849.55
7,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-DXB-01,2026-08-29,28,34.99,979.72
8,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-NYC-01,2026-08-29,19,59.99,1139.81
9,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-SIN-01,2026-08-29,42,349.99,14699.58
10,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-NYC-01,2026-08-29,29,89.99,2609.71
11,SKU-FMCG-701,Organic Almond Milk 1L,WH-SIN-01,2026-08-29,11,4.50,49.50
12,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-DXB-01,2026-08-29,17,16.99,288.83
13,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-SIN-01,2026-08-29,34,13.50,459.00
14,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-LON-01,2026-08-29,34,5.25,178.50
15,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-LON-01,2026-08-29,22,3.49,76.78
16,SKU-APP-801,Performance Running Shoes Men Size 10,WH-DXB-01,2026-08-29,45,110.00,4950.00
17,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-NYC-01,2026-08-29,40,12.99,519.60
18,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-FRA-01,2026-08-29,35,125.00,4375.00
19,SKU-IND-901,High-Precision Ball Bearing Set,WH-DXB-01,2026-08-29,17,45.00,765.00
20,SKU-IND-902,Industrial Hydraulic Pressure Valve,WH-FRA-01,2026-08-29,6,210.00,1260.00
21,SKU-PHA-501,Paracetamol 500mg Tablets (100s),WH-SIN-01,2026-08-28,17,12.00,204.00
22,SKU-PHA-502,Amoxicillin 250mg Antibiotic,WH-FRA-01,2026-08-28,8,24.50,196.00
23,SKU-PHA-503,Ibuprofen 400mg Anti-inflammatory,WH-SIN-01,2026-08-28,20,9.99,199.80
24,SKU-PHA-504,Vitamin C 1000mg Effervescent,WH-NYC-01,2026-08-28,22,7.50,165.00
25,SKU-PHA-505,Digital Infrared Thermometer,WH-SIN-01,2026-08-28,33,39.99,1319.67
26,SKU-ELEC-601,Wireless Active Noise-Canceling Headphones,WH-DXB-01,2026-08-28,45,129.99,5849.55
27,SKU-ELEC-602,Smart USB-C Fast Charger 65W,WH-LON-01,2026-08-28,11,34.99,384.89
28,SKU-ELEC-603,Bluetooth Portable Speaker 20W,WH-DXB-01,2026-08-28,34,59.99,2039.66
29,SKU-ELEC-604,Ultra-Wide 27-inch 4K Monitor,WH-SIN-01,2026-08-28,10,349.99,3499.90
30,SKU-ELEC-605,Mechanical Gaming Keyboard RGB,WH-SIN-01,2026-08-28,27,89.99,2429.73
31,SKU-FMCG-701,Organic Almond Milk 1L,WH-NYC-01,2026-08-28,39,4.50,175.50
32,SKU-FMCG-702,Premium Arabica Coffee Beans 500g,WH-DXB-01,2026-08-28,5,16.99,84.95
33,SKU-FMCG-703,Extra Virgin Olive Oil 750ml,WH-DXB-01,2026-08-28,24,13.50,324.00
34,SKU-FMCG-704,Gluten-Free Oats 1kg,WH-FRA-01,2026-08-28,29,5.25,152.25
35,SKU-FMCG-705,Dark Chocolate 85% Cocoa 100g,WH-DXB-01,2026-08-28,19,3.49,66.31
36,SKU-APP-801,Performance Running Shoes Men Size 10,WH-DXB-01,2026-08-28,12,110.00,1320.00
37,SKU-APP-802,Breathable Athletic Socks (3-Pack),WH-SIN-01,2026-08-28,15,12.99,194.85
38,SKU-APP-803,Waterproof Outdoor Jacket XL,WH-DXB-01,2026-08-28,24,125.00,3000.00
