antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
RED RETROSPOT CHARLOTTE BAG + ROUND SNACK BOXES SET OF4 WOODLAND ,WOODLAND CHARLOTTE BAG,0.0215633423180593,0.1752021563342318,0.0215633423180593,1.0,5.707692307692308,1.0,0.01778539824616212,inf,0.8429752066115703,0.12307692307692308,1.0,0.5615384615384615
RED SPOTTY BOWL + RED SPOTTY PLATE ,RED SPOTTY CUP,0.022911051212938006,0.06064690026954178,0.022911051212938006,1.0,16.488888888888887,1.0,0.02152156697495659,inf,0.9613793103448277,0.37777777777777777,1.0,0.6888888888888889
BLUE  SPOTTY CUP + PINK SPOTTY BOWL,PINK  SPOTTY CUP,0.02021563342318059,0.03504043126684636,0.02021563342318059,1.0,28.53846153846154,1.0,0.01950726890969987,inf,0.9848693259972489,0.5769230769230769,1.0,0.7884615384615384
CHARLOTTE BAG SUKI DESIGN + ROUND SNACK BOXES SET OF 4 FRUITS ,WOODLAND CHARLOTTE BAG,0.02021563342318059,0.1752021563342318,0.02021563342318059,1.0,5.707692307692308,1.0,0.016673810855776985,inf,0.8418156808803301,0.11538461538461538,1.0,0.5576923076923077
PINK  SPOTTY PLATE  + PINK SPOTTY BOWL,PINK  SPOTTY CUP,0.0215633423180593,0.03504043126684636,0.0215633423180593,1.0,28.53846153846154,1.0,0.020807753503679863,inf,0.9862258953168044,0.6153846153846154,1.0,0.8076923076923077
BLUE STRIPE CERAMIC DRAWER KNOB + WHITE SPOT RED CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.02425876010781671,0.05256064690026954,0.022911051212938006,0.9444444444444445,17.96866096866097,1.0,0.021635995088672706,17.053908355795176,0.9678258043548911,0.42499999999999993,0.9413624150466257,0.6901709401709402
PINK  SPOTTY CUP + PINK SPOTTY BOWL,PINK  SPOTTY PLATE ,0.022911051212938006,0.02830188679245283,0.0215633423180593,0.9411764705882353,33.25490196078431,1.0,0.02091491634033464,16.518867924528298,0.9926724137931036,0.7272727272727272,0.9394631639063392,0.8515406162464987
PINK  SPOTTY CUP + RED SPOTTY PLATE ,RED SPOTTY CUP,0.022911051212938006,0.06064690026954178,0.0215633423180593,0.9411764705882353,15.518954248366013,1.0,0.020173858080077885,15.969002695417787,0.9575,0.3478260869565218,0.9373786817452949,0.6483660130718955
JAM JAR WITH GREEN LID,JAM JAR WITH PINK LID,0.0215633423180593,0.04043126684636118,0.02021563342318059,0.9374999999999999,23.1875,1.0,0.019343800175819704,15.353099730458194,0.9779614325068872,0.48387096774193544,0.9348665730337078,0.71875
JUMBO BAG RED RETROSPOT + WOODLAND CHARLOTTE BAG,JUMBO BAG WOODLAND ANIMALS,0.0215633423180593,0.09838274932614555,0.02021563342318059,0.9374999999999999,9.529109589041095,1.0,0.018094172521269096,14.425876010781646,0.9147842056932967,0.20270270270270271,0.9306801195814648,0.5714897260273972
