Description,total_quantity_sold
 FLAMINGO LIGHTS,4
3 TIER CAKE TIN GREEN AND CREAM,1
3 TIER CAKE TIN RED AND CREAM,1
3 TIER SWEETHEART GARDEN SHELF,1
4 VANILLA BOTANICAL CANDLES,6
4 WILDFLOWER BOTANICAL CANDLES,6
6 EGG HOUSE PAINTED WOOD,2
6 SEGMENT COLOURED SNACK BOWL ,2
ACRYLIC GEOMETRIC LAMP,1
AIRLINE BAG VINTAGE WORLD CHAMPION ,3
ANT COPPER LIME BOUDICCA BRACELET,6
ANT COPPER PINK BOUDICCA BRACELET,6
ANTIQUE CREAM CUTLERY CUPBOARD,1
ANTIQUE CREAM CUTLERY SHELF ,2
APOTHECARY MEASURING JAR,1
AREA PATROLLED METAL SIGN,3
ASSORTED COLOUR SET 6 TEASPOONS,6
Adjustment by john on 26/01/2010 16,2
Adjustment by john on 26/01/2010 17,1
BAKING MOULD ROSE WHITE CHOCOLATE,6
BATH BUILDING BLOCK WORD,6
BATH DUCK WATERING CAN,6
BATHROOM SET LOVE HEART DESIGN,6
BEWARE OF THE CAT DOORMAT,2
BISCUIT TIN VINTAGE GREEN,4
BISCUIT TIN VINTAGE RED,6
BLACK AND WHITE DOG BOWL,6
BLACK BAROQUE CUCKOO CLOCK,6
BLOSSOM IMAGES SCRAP BOOK SET,3
BLUE  VOILE LAMPSHADE,6
BLUE CIRCLES DESIGN MONKEY DOLL,6
BLUE EASTER EGG HUNT START POST,6
BLUE GIANT GARDEN THERMOMETER,4
BLUE POLKADOT GARDEN PARASOL,2
BLUE POLKADOT PUDDING BOWL,6
BLUE POLKADOT WASHING UP GLOVES,6
BLUE REFECTORY CLOCK ,6
BLUE RETRO KITCHEN WALL CLOCK,2
BLUE SAVANNAH PICNIC HAMPER FOR 4,2
BLUE SCOTTIE DOG W FLOWER PATTERN,6
BLUE WHITE SPOTS GARDEN PARASOL,2
BLUE/BROWN DOTS RUFFLED UMBRELLA,3
BOOM BOX SPEAKER BOYS,6
BOTANICAL GARDENS WALL CLOCK ,1
BOX OF 9 PEBBLE CANDLES,6
BOX/12 CHICK & EGG IN BASKET,6
BOX/12 MOTHER & CHICK IN BASKET/BOW,5
BROCANTE SHELF WITH HOOKS,4
BROWN DOG CANNISTER W BONE,2
CALENDAR FAMILY FAVOURITES,6
CANDY SPOT APRON,3
CARD HOLDER GINGHAM HEART,6
CERAMIC CAKE STAND + HANGING CAKES,4
CERAMIC PLATE STRAWBERRY DESIGN,4
CHARLIE + LOLA BISCUITS TINS,3
CHARLIE + LOLA RED HOT WATER BOTTLE,6
CHARLIE AND LOLA FIGURES TINS,1
CHARLIE AND LOLA TABLE TINS,3
CHARLIE LOLA BLUE HOT WATER BOTTLE ,3
CHARLIE+LOLA RED HOT WATER BOTTLE ,3
CHERUB HEART DECORATION GOLD,1
CHEST OF DRAWERS GINGHAM HEART ,1
CHILDRENS CUTLERY POLKADOT GREEN ,4
CHILDS GARDEN RAKE PINK,6
CHILDS GARDEN SPADE BLUE,6
CHILLI LIGHTS,4
CHOCOLATE HOT WATER BOTTLE,5
CHRISTMAS CRAFT HEART STOCKING ,6
CHRISTMAS HANGING TREE WITH BELL,1
CHRISTMAS METAL POSTCARD WITH BELLS,6
CLAM SHELL LARGE,1
CLASSIC METAL BIRDCAGE PLANT HOLDER,4
CLEAR MILKSHAKE GLASS,6
CONGRATULATIONS BUNTING,3
COUNTRY COTTAGE  DOORSTOP GREEN,6
CREAM SLICE FLANNEL CHOCOLATE SPOT ,6
CREAM SWEETHEART MINI CHEST,2
CREAM SWEETHEART WALL CABINET,1
CREAM WALL PLANTER HEART SHAPED,2
CROCHET POODLE KEYRING,6
CURIO CABINET LINEN AND LACE ,2
CUSHION COVER PINK UNION JACK,4
DAIRY MAID TRADITIONAL TEAPOT ,4
DAISY GARDEN MARKER,1
DANISH ROSE TRINKET TRAYS,2
DENIM PATCH PENCIL CASE BUTTERFLY,6
DISCO BALL ROTATOR BATTERY OPERATED,2
DOLLY CABINET 2 DRAWERS ,2
DOLLY GIRL BABY GIFT SET,6
DOOR MAT AIRMAIL ,6
DOOR MAT BIRD ON THE WIRE,4
DOOR MAT BLACK FLOCK ,4
DOOR MAT ENGLISH ROSE ,2
DOOR MAT FANCY FONT HOME SWEET HOME,6
DOOR MAT GREEN PAISLEY ,2
DOOR MAT NEIGHBOURHOOD WITCH ,2
DOOR MAT RESPECTABLE HOUSE,2
DOORMAT CHRISTMAS VILLAGE,2
DOORMAT I LOVE LONDON,5
DOORMAT PEACE ON EARTH BLUE,1
DOORMAT UNION JACK GUNS AND ROSES,1
DOORSTOP RACING CAR DESIGN,4
DRAWER KNOB VINTAGE GLASS BALL,6
DRAWER KNOB VINTAGE GLASS HEXAGON,6
DRAWER KNOB VINTAGE GLASS STAR,6
EASTER BUNNY WREATH,5
EASTER TREE YELLOW BIRDS,4
EIGHT PIECE SNAKE  SET,2
EMBROIDERED RIBBON REEL RACHEL ,6
EMBROIDERED RIBBON REEL ROSIE,6
EMBROIDERED RIBBON REEL RUBY ,6
EMBROIDERED RIBBON REEL SOPHIE  ,6
ENAMEL COLLANDER CREAM,3
ENGLISH ROSE DESIGN QUILTED THROW,6
ENGLISH ROSE TABLE CLOTH,2
FAIRY CAKES ROUND NESTING BOXES,6
FLAG OF ST GEORGE CHAIR,2
FLORAL BATHROOM SET,6
FLOWER FAIRY INCENSE BOUQUET,6
FLOWER FAIRY SET 3 CANDLES LAVENDER,2
FLOWERS CHANDELIER T-LIGHT HOLDER,6
FOLDING UMBRELLA  CHOC/WHITE  SPOT,4
"FOLDING UMBRELLA , BLACK/BLUE  SPOT",4
FOLDING UMBRELLA CREAM POLKADOT,4
"FOLK ART GREETING CARD,pack/12",6
FOLKART ZINC HEART CHRISTMAS DEC,1
FRENCH CHATEAU LARGE PLATTER ,6
FRENCH GARDEN SIGN BLUE METAL,6
FRENCH STYLE EMBOSSED HEART CABINET,4
