Customer ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,overall_score,ltv,cluster_id,ltv_segment
12426.0,194,2,263.6,1,1,2,4,263.6,0,Low_ltv
12427.0,22,3,203.31,3,2,2,7,203.31,0,Low_ltv
12468.0,188,5,934.01,1,2,3,6,934.01,2,Mid_ltv
12472.0,32,18,2290.68,2,3,3,8,2290.68,1,High_ltv
12473.0,54,3,381.85,2,2,2,6,381.85,0,Low_ltv
12474.0,17,25,2010.03,3,3,3,9,2010.03,1,High_ltv
12475.0,54,2,159.78,2,1,2,5,159.78,0,Low_ltv
12476.0,15,15,1569.32,3,3,3,9,1569.32,2,Mid_ltv
12477.0,23,9,3440.44,3,3,3,9,3440.44,1,High_ltv
12479.0,11,1,111.4,3,1,1,5,111.4,0,Low_ltv
12480.0,28,7,1028.83,2,3,3,8,1028.83,2,Mid_ltv
12481.0,23,14,2009.73,3,3,3,9,2009.73,1,High_ltv
12492.0,63,3,148.16,2,2,2,6,148.16,0,Low_ltv
12497.0,81,3,1088.56,2,2,3,7,1088.56,2,Mid_ltv
12498.0,21,2,50.0,3,1,1,5,50.0,0,Low_ltv
12499.0,560,1,50.019999999999996,1,1,1,3,50.019999999999996,0,Low_ltv
12500.0,23,13,985.8399999999999,3,3,3,9,985.8399999999999,2,Mid_ltv
12501.0,336,1,433.08,1,1,2,4,433.08,0,Low_ltv
12504.0,30,1,131.39999999999998,2,1,1,4,131.39999999999998,0,Low_ltv
12516.0,78,4,273.76,2,2,2,6,273.76,0,Low_ltv
12517.0,28,4,479.32,2,2,2,6,479.32,0,Low_ltv
12518.0,1,5,425.18,3,2,2,7,425.18,0,Low_ltv
12519.0,64,2,132.5,2,1,1,4,132.5,0,Low_ltv
12520.0,79,5,385.33,2,3,2,7,385.33,0,Low_ltv
12521.0,143,1,98.58,1,1,1,3,98.58,0,Low_ltv
12522.0,39,2,68.46000000000001,2,1,1,4,68.46000000000001,0,Low_ltv
12524.0,9,14,1907.16,3,3,3,9,1907.16,1,High_ltv
12526.0,1,3,331.04,3,2,2,7,331.04,0,Low_ltv
12527.0,326,2,44.10000000000001,1,1,1,3,44.10000000000001,0,Low_ltv
12528.0,9,3,98.65,3,2,1,6,98.65,0,Low_ltv
12530.0,59,9,636.5699999999999,2,3,3,8,636.5699999999999,2,Mid_ltv
12531.0,15,2,441.29,3,1,2,6,441.29,0,Low_ltv
12533.0,628,1,74.15,1,1,1,3,74.15,0,Low_ltv
