Description,ADI,average,sd,cv_squared,demand_pattern,product_mix
 3 STRIPEY MICE FELTCRAFT,13.4,6.0,0.0,0.0,intermittent,B_B
 50'S CHRISTMAS GIFT BAG LARGE,14.5,12.0,0.0,0.0,intermittent,B_B
 CHERRY BLOSSOM  DECORATIVE FLASK,28.0,8.0,5.656854249492381,0.5000000000000001,lumpy,C_B
 DOLLY GIRL BEAKER,22.4,12.0,0.0,0.0,intermittent,B_B
 I LOVE LONDON MINI BACKPACK,22.0,4.0,0.0,0.0,intermittent,C_C
 RED SPOT GIFT BAG LARGE,18.5,16.0,6.928203230275509,0.18749999999999997,intermittent,B_B
 RED/WHITE DOT MINI CASES,10.5,5.142857142857143,4.140393356054125,0.648148148148148,lumpy,B_A
 SET 2 TEA TOWELS I LOVE LONDON ,44.8,9.0,7.3484692283495345,0.6666666666666666,lumpy,B_A
 SPACEBOY BABY GIFT SET,51.75,2.4,2.1908902300206647,0.8333333333333336,lumpy,C_A
10 COLOUR SPACEBOY PEN,35.57142857142857,27.2,8.444778606587962,0.09639149777558081,intermittent,A_A
12 COLOURED PARTY BALLOONS,77.0,20.0,0.0,0.0,intermittent,A_B
12 IVORY ROSE PEG PLACE SETTINGS,112.0,18.25,20.5,1.2617751923437794,lumpy,B_B
12 MESSAGE CARDS WITH ENVELOPES,96.0,10.0,3.4641016151377544,0.12,intermittent,B_B
12 MINI TOADSTOOL PEGS,158.0,12.0,0.0,0.0,intermittent,B_C
12 PENCIL SMALL TUBE WOODLAND,33.588235294117645,66.11111111111111,97.50408069221506,2.175187362142088,lumpy,A_A
12 PENCILS SMALL TUBE RED RETROSPOT,57.42857142857143,26.75,14.300349646075091,0.28578915189099485,intermittent,A_B
12 PENCILS SMALL TUBE RED SPOTTY,63.0,30.0,12.0,0.16000000000000003,intermittent,A_B
12 PENCILS SMALL TUBE SKULL,87.0,26.571428571428573,31.97320306578173,1.4479130535321998,lumpy,A_B
12 PENCILS TALL TUBE POSY,180.5,20.0,6.928203230275509,0.12,intermittent,B_B
12 PENCILS TALL TUBE RED RETROSPOT,75.75,12.0,0.0,0.0,intermittent,B_B
12 PENCILS TALL TUBE RED SPOTTY,85.0,12.0,0.0,0.0,intermittent,B_B
12 PENCILS TALL TUBE SKULLS,144.5,12.0,0.0,0.0,intermittent,B_C
12 PENCILS TALL TUBE WOODLAND,36.9375,15.529411764705882,9.260923597695477,0.35563016528925623,intermittent,A_A
12 PINK HEN+CHICKS IN BASKET,395.0,6.0,0.0,0.0,intermittent,C_C
12 PINK ROSE PEG PLACE SETTINGS,73.5,20.333333333333332,24.583192089989726,1.4617038430529434,lumpy,B_B
12 RED ROSE PEG PLACE SETTINGS,112.0,18.25,20.5,1.2617751923437794,lumpy,B_B
16 PIECE CUTLERY SET PANTRY DESIGN,82.0,2.6666666666666665,1.1547005383792517,0.18750000000000008,intermittent,C_B
20 DOLLY PEGS RETROSPOT,68.875,19.77777777777778,12.265579661982734,0.3846105289736145,intermittent,A_A
200 BENDY SKULL STRAWS,252.0,12.0,0.0,0.0,intermittent,B_C
200 RED + WHITE BENDY STRAWS,248.5,36.0,24.0,0.4444444444444444,intermittent,A_B
3 DRAWER ANTIQUE WHITE WOOD CABINET,41.0,6.0,0.0,0.0,intermittent,C_B
3 HOOK HANGER MAGIC GARDEN,16.75,20.571428571428573,19.402503520348677,0.8895833333333332,lumpy,A_A
3 HOOK PHOTO SHELF ANTIQUE WHITE,34.666666666666664,4.2,2.3944379994757297,0.32501889644746795,intermittent,B_A
3 PIECE SPACEBOY COOKIE CUTTER SET,20.055555555555557,10.421052631578947,5.600751829230749,0.28884807672686463,intermittent,A_A
3 RAFFIA RIBBONS 50'S CHRISTMAS ,13.0,10.0,0.0,0.0,intermittent,B_C
3 STRIPEY MICE FELTCRAFT,75.125,5.555555555555555,1.3333333333333333,0.0576,intermittent,B_B
3 TRADITIONAl BISCUIT CUTTERS  SET,87.5,8.0,3.4641016151377544,0.18749999999999997,intermittent,C_B
36 DOILIES DOLLY GIRL,86.5,12.0,0.0,0.0,intermittent,B_B
36 DOILIES SPACEBOY DESIGN ,90.0,12.0,0.0,0.0,intermittent,C_C
36 DOILIES VINTAGE CHRISTMAS,8.0,24.0,16.97056274847714,0.4999999999999999,lumpy,B_B
36 FOIL HEART CAKE CASES,62.4,8.0,3.0983866769659336,0.15000000000000002,intermittent,B_B
36 FOIL STAR CAKE CASES ,28.0,6.0,0.0,0.0,intermittent,C_C
36 PENCILS TUBE RED RETROSPOT,38.9,33.45454545454545,33.143215403348044,0.9814744801512285,lumpy,A_A
36 PENCILS TUBE RED SPOTTY,29.0,30.666666666666668,12.649110640673518,0.17013232514177695,intermittent,A_A
36 PENCILS TUBE SKULLS,158.25,44.8,48.53040284192992,1.1734693877551021,lumpy,A_A
36 PENCILS TUBE WOODLAND,29.1,19.047619047619047,6.4379825293036514,0.11424000000000001,intermittent,A_A
3D CHRISTMAS STAMPS STICKERS ,35.0,18.0,0.0,0.0,intermittent,B_B
3D TRADITIONAL CHRISTMAS STICKERS,59.0,20.25,6.363961030678928,0.09876543209876541,intermittent,A_A
3D VINTAGE CHRISTMAS STICKERS ,190.0,24.0,10.392304845413264,0.18750000000000003,intermittent,B_B
4 LAVENDER BOTANICAL DINNER CANDLES,557.0,18.0,8.48528137423857,0.22222222222222215,intermittent,B_B
4 TRADITIONAL SPINNING TOPS,35.0,11.875,4.16132991562393,0.12279963065558631,intermittent,A_A
5 HOOK HANGER MAGIC TOADSTOOL,9.357142857142858,14.933333333333334,9.735550954155208,0.42501822157434405,intermittent,A_A
5 HOOK HANGER RED MAGIC TOADSTOOL,8.862068965517242,19.8,16.61200230826059,0.7039042462239953,lumpy,A_A
50'S CHRISTMAS PAPER GIFT BAG,22.333333333333332,10.0,0.0,0.0,intermittent,B_C
6 CHOCOLATE LOVE HEART T-LIGHTS,313.0,6.0,0.0,0.0,intermittent,C_C
6 CROCHET STRAWBERRIES,17.571428571428573,14.75,8.614771367499298,0.34111708458160633,intermittent,A_A
6 GIFT TAGS 50'S CHRISTMAS ,12.571428571428571,13.5,4.242640687119285,0.09876543209876541,intermittent,A_B
6 GIFT TAGS VINTAGE CHRISTMAS ,12.714285714285714,15.0,5.5549205986353085,0.13714285714285715,intermittent,A_B
6 RIBBONS ELEGANT CHRISTMAS ,353.5,16.0,6.928203230275509,0.18749999999999997,intermittent,B_B
6 RIBBONS EMPIRE  ,176.75,12.0,0.0,0.0,intermittent,B_B
6 RIBBONS RUSTIC CHARM,10.23943661971831,18.875,11.994056626771329,0.40379251960162366,intermittent,A_A
6 RIBBONS SHIMMERING PINKS ,78.0,18.0,8.48528137423857,0.22222222222222215,intermittent,B_C
60 CAKE CASES DOLLY GIRL DESIGN,50.25,22.444444444444443,12.640323483905693,0.31717478678560923,intermittent,A_B
60 CAKE CASES VINTAGE CHRISTMAS,41.6,26.181818181818183,7.236272269866328,0.07638888888888891,intermittent,A_A
60 TEATIME FAIRY CAKE CASES,58.18181818181818,31.166666666666668,23.931087933835556,0.5895819414078444,lumpy,A_A
72 SWEETHEART FAIRY CAKE CASES,62.25,29.333333333333332,10.583005244258363,0.13016528925619839,intermittent,A_A
ABC TREASURE BOOK BOX ,34.0,8.0,0.0,0.0,intermittent,C_C
ABSTRACT CIRCLE JOURNAL ,89.33333333333333,39.0,48.12483766206386,1.522682445759369,lumpy,A_A
ABSTRACT CIRCLES POCKET BOOK,244.0,138.0,144.2497833620557,1.092627599243856,lumpy,A_A
ADULT APRON APPLE DELIGHT,58.0,4.0,0.0,0.0,intermittent,C_B
ADVENT CALENDAR GINGHAM SACK,37.9,10.363636363636363,12.893973222189716,1.5479224376731302,lumpy,A_A
AIRLINE BAG VINTAGE JET SET BROWN,126.2,4.166666666666667,4.020779360604939,0.9311999999999996,lumpy,B_B
AIRLINE BAG VINTAGE JET SET RED,107.0,5.333333333333333,3.265986323710904,0.37500000000000006,intermittent,B_A
AIRLINE BAG VINTAGE JET SET WHITE,297.0,4.0,0.0,0.0,intermittent,C_B
AIRLINE BAG VINTAGE TOKYO 78,210.33333333333334,5.5,4.43471156521669,0.650137741046832,lumpy,C_B
ALARM CLOCK BAKELIKE CHOCOLATE,35.75,5.384615384615385,2.7549489268847784,0.2617687074829933,intermittent,B_A
ALARM CLOCK BAKELIKE GREEN,23.833333333333332,7.315789473684211,5.538277224903339,0.5730954804501721,lumpy,A_A
ALARM CLOCK BAKELIKE IVORY,25.235294117647058,6.222222222222222,3.1352935045186956,0.2539015606242497,intermittent,A_A
ALARM CLOCK BAKELIKE ORANGE,37.75,7.777777777777778,6.666666666666667,0.7346938775510206,lumpy,B_A
ALARM CLOCK BAKELIKE PINK,12.0,8.666666666666666,5.932958789676531,0.468639053254438,intermittent,A_A
ALARM CLOCK BAKELIKE RED ,17.875,7.36,4.957149718672347,0.45363697227473204,intermittent,A_A
ALPHABET HEARTS STICKER SHEET,576.0,18.0,8.48528137423857,0.22222222222222215,intermittent,B_C
ALPHABET STENCIL CRAFT,99.16666666666667,14.0,10.392304845413264,0.5510204081632654,lumpy,A_B
ANGEL DECORATION PAINTED ZINC ,316.0,24.0,0.0,0.0,intermittent,B_C
ANIMAL STICKERS,79.0,32.0,13.856406460551018,0.18749999999999997,intermittent,A_C
ANTIQUE GLASS DRESSING TABLE POT,128.0,8.0,0.0,0.0,intermittent,B_B
ANTIQUE GLASS PEDESTAL BOWL,128.0,5.333333333333333,2.3094010767585034,0.18750000000000008,intermittent,C_B
ANTIQUE SILVER T-LIGHT GLASS,38.333333333333336,18.0,6.928203230275509,0.1481481481481481,intermittent,B_B
ANTIQUE SILVER TEA GLASS ETCHED,70.0,14.0,4.898979485566356,0.1224489795918367,intermittent,B_B
APPLE BATH SPONGE,143.0,10.0,0.0,0.0,intermittent,B_B
APRON APPLE DELIGHT,29.75,9.11111111111111,16.855595839694043,3.4225163593099355,lumpy,B_A
AREA PATROLLED METAL SIGN,55.0,1.5,0.7071067811865476,0.22222222222222227,intermittent,C_C
ASS FLORAL PRINT MULTI SCREWDRIVER,101.0,20.0,6.928203230275509,0.12,intermittent,B_C
