StockCode,History_Weeks,Positive_Weeks,ADI,CV2,Avg_Weekly_Units,Last_12W_Units,Demand_Class,Category,Subcategory,Supplier,Avg_Price,Avg_Cost,Lead_Time_Days,Lead_Time_SD_Days,Champion_Model,Backtest_MAE,Backtest_RMSE,Backtest_WAPE,Backtest_Bias,ML_Model,ML_MAE,ML_RMSE,ML_WAPE,ML_Bias,Overall_Source,Overall_Model,Overall_MAE,MAE_Improvement_vs_Stat,Hybrid_Forecast_12W_Units,Hybrid_Forecast_12W_Revenue,Hybrid_Forecast_12W_GrossProfit,Description
10002,106,46,2.3043478260869565,4.484810491774988,11.49056603773585,0.0,Lumpy,General Merchandise,General Accessories,Gulf Source Co.,0.8427777777777777,0.51915,18.0,5.6,Naive,0.0,0.0,,,HistGBR,0.5925051869238306,0.7345431574126453,,,Statistical,Naive,0.0,0.0,0.0,0.0,0.0,Inflatable Political Globe
10120,106,21,5.0476190476190474,0.8183353653762262,2.8207547169811322,42.0,Lumpy,General Merchandise,General Accessories,Evergreen Supply,0.21,0.139,21.0,4.1,Naive,3.5,7.702813338860896,1.0,-1.0,RandomForest,3.5959628916953634,7.276276607290263,1.027417969055818,-0.752787616975513,Statistical,Naive,3.5,0.0,0.0,0.0,0.0,Doggy Rubber
10123C,105,19,5.526315789473684,4.190321046373364,2.761904761904762,0.0,Lumpy,Stationery & Gifts,Cards & Wrap,Northstar Trading,0.6231818181818182,0.3670045454545454,10.0,2.8,Naive,0.0,0.0,,,HistGBR,0.28118900137185343,0.33020417912005867,,,Statistical,Naive,0.0,0.0,0.0,0.0,0.0,Hearts Wrapping Tape
10125,106,30,3.533333333333333,0.6172957945023102,4.264150943396227,29.0,Lumpy,Home Decor,Frames & Signs,ValueLink Distribution,0.823125,0.5440375,17.0,2.9,Naive,2.4166666666666665,6.144102863722254,1.0,-1.0,RandomForest,3.2518218324874653,5.802732392267562,1.3455814479258477,-0.3880718882492522,Statistical,Naive,2.4166666666666665,0.0,240.0,197.54999999999998,66.98100000000002,Mini Funky Tapes
10133,106,36,2.9444444444444446,1.6471309073472218,7.754716981132075,0.0,Lumpy,Accessories,Fashion Accessories,Gulf Source Co.,0.6370731707317072,0.3268146341463415,21.0,4.7,Naive,0.0,0.0,,,Ridge,6.32535156590692,6.839828553076918,,,Statistical,Naive,0.0,0.0,0.0,0.0,0.0,Colouring Pencils Brown Tube
10134,106,20,5.3,3.769421872573882,2.6226415094339623,0.0,Lumpy,Accessories,Fashion Accessories,Gulf Source Co.,1.2417391304347825,0.6531565217391304,26.0,5.1,Naive,0.0,0.0,,,HistGBR,0.296430317584173,0.34360049069370946,,,Statistical,Naive,0.0,0.0,0.0,0.0,0.0,Colouring Pencils Brown Tube
10135,106,45,2.3555555555555556,0.7500520291363161,4.386792452830188,49.0,Lumpy,Accessories,Fashion Accessories,Northstar Trading,1.23125,0.658675,24.0,6.900000000000001,MA4,3.5833333333333335,4.591659104651971,0.8775510204081632,-0.3877551020408163,Ridge,3.415689202722103,4.403285095112815,0.8364953149523519,-0.3315734271127389,ML,Ridge,3.415689202722103,0.046784408542668965,140.07767770378848,172.47064067278956,80.20497631124668,Colouring Pencils Brown Tube
11001,105,36,2.9166666666666665,0.6313832199546484,6.0,84.0,Lumpy,Home Decor,Frames & Signs,Global Goods Ltd.,1.7005128205128204,0.9777461538461539,21.0,6.5,Naive,7.0,12.2542509631012,1.0,-1.0,HistGBR,7.106372053096944,11.634893117575233,1.0151960075852777,-0.8177972927147902,Statistical,Naive,7.0,0.0,36.0,61.21846153846154,26.019599999999993,Asstd Racing Car Pen
15034,101,38,2.6578947368421053,5.4055071464532025,32.59405940594059,144.0,Lumpy,Stationery & Gifts,Cards & Wrap,Apex Merchants,0.13815789473684212,0.07657894736842105,11.0,2.1,SES,12.0,17.378082631829727,1.0,-0.31177979184369486,Ridge,11.830765801449308,17.22804332023787,0.9858971501207756,-0.3401822206188006,ML,Ridge,11.830765801449308,0.014102849879224277,192.02435148343068,26.529680139158188,11.824657433453366,Paper Pocket Traveling Fan
15036,105,66,1.5909090909090908,4.519436565559931,101.72380952380952,168.0,Lumpy,General Merchandise,General Accessories,ValueLink Distribution,0.7578571428571428,0.4964081632653062,19.0,4.6,Naive,12.0,12.96148139681572,0.8571428571428571,-0.14285714285714285,Ridge,43.60426534486831,49.67753467530129,3.1145903817763076,3.1145903817763076,Statistical,Naive,12.0,0.0,0.0,0.0,0.0,Colours Silk Fan
15039,104,39,2.6666666666666665,5.826742038646908,8.596153846153847,16.0,Lumpy,General Merchandise,General Accessories,Apex Merchants,0.8335897435897436,0.5568358974358975,21.0,3.6,Naive,1.3333333333333333,3.13581462037113,1.0,-1.0,HistGBR,1.9756484547861672,3.189868030688903,1.4817363410896254,0.30294882645667814,Statistical,Naive,1.3333333333333333,0.0,12.0,10.003076923076923,3.3210461538461535,Sandalwood Fan
15044A,99,40,2.475,34.72520980179039,37.41414141414141,10.0,Lumpy,Stationery & Gifts,Cards & Wrap,Northstar Trading,3.0010000000000003,1.8276525,12.0,4.1,Naive,0.8333333333333334,1.8708286933869707,1.0,-1.0,Ridge,0.8333333333333334,1.8708286933869707,1.0,-1.0,Statistical,Naive,0.8333333333333334,0.0,12.0,36.012,14.080170000000006,Pink Paper Parasol
15044B,101,33,3.0606060606060606,4.143840135733813,3.0594059405940595,3.0,Lumpy,Stationery & Gifts,Cards & Wrap,Metro Wholesale,2.927142857142857,1.8031199999999998,13.0,4.3,Naive,0.25,0.8660254037844386,1.0,-1.0,HistGBR,0.5129167226940525,0.8703924862182078,2.05166689077621,0.16106588226673765,Statistical,Naive,0.25,0.0,0.0,0.0,0.0,Blue Paper Parasol
15044C,99,34,2.911764705882353,3.627879619645135,2.04040404040404,8.0,Lumpy,Stationery & Gifts,Cards & Wrap,Northstar Trading,2.927777777777778,1.7654944444444445,13.0,2.1,Naive,0.6666666666666666,1.224744871391589,1.0,-1.0,RandomForest,0.8213729527668091,1.0510262881762515,1.2320594291502136,-0.37558713153458445,Statistical,Naive,0.6666666666666666,0.0,12.0,35.13333333333334,13.947400000000002,Purple Paper Parasol
15044D,104,40,2.6,2.5064481880480223,3.5288461538461537,82.0,Lumpy,Stationery & Gifts,Cards & Wrap,Summit Procurement,2.91,1.61796,11.0,1.9,Naive,6.833333333333333,20.860648759486526,1.0,-1.0,HistGBR,6.901409237016097,20.695269886861915,1.0099623273682092,-0.9500983527978464,Statistical,Naive,6.833333333333333,0.0,24.0,69.84,31.008960000000002,Red Paper Parasol
15056BL,106,82,1.2926829268292683,13.238108730026784,16.31132075471698,121.0,Erratic,General Merchandise,General Accessories,Global Goods Ltd.,5.78375,3.6958658333333334,22.0,7.3,SES,8.416666666666666,13.074900310491861,0.8347107438016529,-0.6366444915607162,Ridge,8.194731504538789,12.474741804453108,0.8127006450782269,-0.5436060847161824,ML,Ridge,8.194731504538789,0.026368534114203257,134.2283088981462,776.3429815896532,280.25316086688196,Edwardian Parasol Black
15056N,106,92,1.1521739130434783,2.9780797013229448,10.471698113207546,96.0,Erratic,General Merchandise,General Accessories,Northstar Trading,5.808461538461539,3.5547784615384614,17.0,3.1,Naive,7.5,10.901070283845222,0.9375,-0.25,Ridge,7.474683567331103,11.245353619222822,0.9343354459163878,-0.31809401968119144,ML,Ridge,7.474683567331103,0.003375524355852977,122.04284755396827,708.8811860615496,275.0459001918813,Edwardian Parasol Natural
15056P,105,53,1.9811320754716981,2.51201761945801,3.3714285714285714,100.0,Lumpy,General Merchandise,General Accessories,Reliable Imports,5.792105263157896,3.7243736842105264,18.0,4.2,Naive,8.166666666666666,15.110702608857515,0.98,-0.64,RandomForest,8.131688165034,15.800138548840819,0.9758025798040799,-0.8528476000121004,ML,RandomForest,8.131688165034,0.004283081832571423,50.92640407782475,294.97109309287447,105.30213391395232,Edwardian Parasol Pink
15058A,90,24,3.75,1.5057442242141144,0.9888888888888889,2.0,Lumpy,Garden & Outdoor,Garden Accessories,Reliable Imports,7.356896551724137,4.347958620689655,28.0,9.1,Naive,0.16666666666666666,0.5773502691896257,1.0,-1.0,HistGBR,0.42657145467381175,0.566302093273513,2.5594287280428705,0.9035663749153849,Statistical,Naive,0.16666666666666666,0.0,0.0,0.0,0.0,Blue White Spots Garden Parasol
15058B,91,24,3.7916666666666665,0.9111531190926273,1.010989010989011,1.0,Lumpy,Garden & Outdoor,Garden Accessories,Evergreen Supply,7.416666666666667,4.895,35.0,9.6,Naive,0.08333333333333333,0.28867513459481287,1.0,-1.0,HistGBR,0.39860358407875923,0.4252687922246639,4.783243008945111,3.6156996777921147,Statistical,Naive,0.08333333333333333,0.0,0.0,0.0,0.0,Pink White Spots Garden Parasol
15058C,90,22,4.090909090909091,1.232295179527872,1.5777777777777777,1.0,Lumpy,Home Decor,Frames & Signs,Reliable Imports,6.35,3.7910000000000004,18.0,5.6,Naive,0.08333333333333333,0.28867513459481287,1.0,-1.0,HistGBR,0.3534745777548189,0.3780386733416552,4.241694933057826,2.869721294352516,Statistical,Naive,0.08333333333333333,0.0,0.0,0.0,0.0,Ice Cream Garden Parasol
15060B,105,46,2.282608695652174,0.601707428387339,1.838095238095238,30.0,Lumpy,Kitchen & Dining,Kitchen Accessories,Prime Supply Partners,3.734,2.6436719999999996,19.0,3.8,MA4,2.75,5.273755777432247,1.1,-0.7,HistGBR,2.7521868608794597,5.377435445701192,1.100874744351784,-0.7629480197936649,Statistical,MA4,2.75,0.0,54.0,201.63600000000002,58.87771200000002,Fairy Cake Umbrella
16008,69,22,3.1363636363636362,1.9859702998968416,16.536231884057973,600.0,Lumpy,General Merchandise,General Accessories,Apex Merchants,0.1537037037037037,0.09194444444444444,23.0,7.6,Naive,40.0,71.83313998427188,0.8,-0.52,RandomForest,42.5739497405249,75.45826206116263,0.851478994810498,-0.6611901148320259,Statistical,Naive,40.0,0.0,2880.0,442.66666666666663,177.86666666666667,Small Folding Scissor Pointed Edge
16011,104,29,3.586206896551724,0.8602208716992431,10.259615384615385,80.0,Lumpy,Stationery & Gifts,Notebooks & Desk,Apex Merchants,0.21,0.1197,10.0,2.0,Naive,6.666666666666667,15.72153512436577,1.0,-1.0,HistGBR,7.206473032097044,15.03524566798817,1.0809709548145565,-0.771981978875081,Statistical,Naive,6.666666666666667,0.0,300.0,63.0,27.089999999999996,Animal Stickers
