sku,demand_model,policy,target_service_level,reorder_point_used,order_qty_or_max_used,shortage_cost,inventory_cost,average_inventory_level,ordering_cost,total_lost_sales,Item_fill_rate,cycle_service_level,saftey_stock
apple_juice,Normal,min_Q,0.75,1256,1209,884.0,110.68054794520549,604.7664670658683,1350.0,884.0,0.9735756561248281,0.9579579579579579,47.1745551542658
apple_juice,Normal,base_stock,0.75,1256,2465,671.0,17.03068493150685,93.05688622754491,16650.0,671.0,0.9799426077599092,0.8828828828828829,47.1745551542658
apple_juice,Normal,min_max,0.75,1256,2465,735.0,110.49534246575344,603.754491017964,1300.0,735.0,0.9780295330902135,0.9579579579579579,47.1745551542658
apple_juice,Normal,periodic_review,0.75,1256,2465,0.0,162.9578082191781,890.4131736526946,2350.0,0.0,1.0,1.0,59.360013495375874
apple_juice,Normal,hybrid,0.75,1256,2465,0.0,162.9578082191781,890.4131736526946,2350.0,0.0,1.0,1.0,59.360013495375874
grape_juice,Poisson,min_Q,0.75,36,24,3.0,4.145753424657535,22.652694610778443,1400.0,3.0,0.9954268292682927,0.993993993993994,12.36036036036036
grape_juice,Poisson,base_stock,0.75,36,60,3.0,2.3156164383561646,12.652694610778443,14400.0,3.0,0.9954268292682927,0.993993993993994,12.36036036036036
grape_juice,Poisson,min_max,0.75,36,60,0.0,4.286575342465754,23.422155688622755,1350.0,0.0,1.0,1.0,12.36036036036036
grape_juice,Poisson,periodic_review,0.75,36,60,0.0,5.266301369863014,28.775449101796408,2350.0,0.0,1.0,1.0,36.36036036036036
grape_juice,Poisson,hybrid,0.75,36,60,0.0,5.266301369863014,28.775449101796408,2350.0,0.0,1.0,1.0,36.36036036036036
cantalop_juice,Poisson,min_Q,0.75,144,117,0.0,14.193424657534248,77.55389221556887,1400.0,0.0,1.0,1.0,26.990990990990994
cantalop_juice,Poisson,base_stock,0.75,144,261,0.0,5.372602739726028,29.356287425149702,16650.0,0.0,1.0,1.0,26.990990990990994
cantalop_juice,Poisson,min_max,0.75,144,261,0.0,14.527123287671234,79.37724550898204,1350.0,0.0,1.0,1.0,26.990990990990994
cantalop_juice,Poisson,periodic_review,0.75,144,261,0.0,19.950136986301374,109.00898203592814,2350.0,0.0,1.0,1.0,143.990990990991
cantalop_juice,Poisson,hybrid,0.75,144,261,0.0,19.950136986301374,109.00898203592814,2350.0,0.0,1.0,1.0,143.990990990991
