Description,policy,target_service_level,reorder_point_used,order_qty_or_max_used,shortage_cost,inventory_cost,average_inventory_level,ordering_cost,total_lost_sales,Item_fill_rate,cycle_service_level,saftey_stock
STOOL HOME SWEET HOME ,min_Q,0.95,624,730,0.0,882.8610913990569,1255.39837398374,50.0,0.0,1.0,1.0,30.824957265891435
STOOL HOME SWEET HOME ,base_stock,0.95,624,1354,0.0,434.64388052997987,618.0487804878048,100.0,0.0,1.0,1.0,30.824957265891435
STOOL HOME SWEET HOME ,min_max,0.95,624,1354,0.0,882.8610913990569,1255.39837398374,50.0,0.0,1.0,1.0,30.824957265891435
STOOL HOME SWEET HOME ,periodic_review,0.95,624,1354,0.0,946.6168650348081,1346.0569105691056,100.0,0.0,1.0,1.0,38.787220638629414
STOOL HOME SWEET HOME ,hybrid,0.95,624,1354,0.0,946.6168650348081,1346.0569105691056,100.0,0.0,1.0,1.0,38.787220638629414
REGENCY CAKESTAND 3 TIER,min_Q,0.95,339,515,0.0,511.8570434898258,677.3577235772358,50.0,0.0,1.0,1.0,61.46914772517413
REGENCY CAKESTAND 3 TIER,base_stock,0.95,339,854,0.0,234.74219257880037,310.6422764227642,950.0,0.0,1.0,1.0,61.46914772517413
REGENCY CAKESTAND 3 TIER,min_max,0.95,339,854,0.0,511.8570434898258,677.3577235772358,50.0,0.0,1.0,1.0,61.46914772517413
REGENCY CAKESTAND 3 TIER,periodic_review,0.95,339,854,0.0,617.2818393403378,816.869918699187,550.0,0.0,1.0,1.0,77.34698136704407
REGENCY CAKESTAND 3 TIER,hybrid,0.95,339,854,0.0,617.2818393403378,816.869918699187,550.0,0.0,1.0,1.0,77.34698136704407
HAND WARMER RED RETROSPOT,min_Q,0.95,1030,2291,0.0,381.41628006088285,3013.788617886179,50.0,0.0,1.0,1.0,49.65311048139224
HAND WARMER RED RETROSPOT,base_stock,0.95,1030,3321,0.0,129.0203105022831,1019.4634146341464,100.0,0.0,1.0,1.0,49.65311048139224
HAND WARMER RED RETROSPOT,min_max,0.95,1030,3321,0.0,381.41628006088285,3013.788617886179,50.0,0.0,1.0,1.0,49.65311048139224
HAND WARMER RED RETROSPOT,periodic_review,0.95,1030,3321,0.0,418.77736986301375,3309.0,100.0,0.0,1.0,1.0,62.478793888453026
HAND WARMER RED RETROSPOT,hybrid,0.95,1030,3321,0.0,418.77736986301375,3309.0,100.0,0.0,1.0,1.0,62.478793888453026
3 HOOK HANGER MAGIC GARDEN,min_Q,0.95,1030,2420,0.0,352.9502648401827,3111.008130081301,50.0,0.0,1.0,1.0,49.65311048139224
3 HOOK HANGER MAGIC GARDEN,base_stock,0.95,1030,3450,0.0,115.6602191780822,1019.4634146341464,100.0,0.0,1.0,1.0,49.65311048139224
3 HOOK HANGER MAGIC GARDEN,min_max,0.95,1030,3450,0.0,352.9502648401827,3111.008130081301,50.0,0.0,1.0,1.0,49.65311048139224
3 HOOK HANGER MAGIC GARDEN,periodic_review,0.95,1030,3450,0.0,389.61649315068496,3434.1951219512193,100.0,0.0,1.0,1.0,62.478793888453026
3 HOOK HANGER MAGIC GARDEN,hybrid,0.95,1030,3450,0.0,389.61649315068496,3434.1951219512193,100.0,0.0,1.0,1.0,62.478793888453026
PACK OF 12 RED APPLE TISSUES,min_Q,0.95,4543,11338,0.0,315.69036337418896,14470.967479674797,50.0,0.0,1.0,1.0,222.1799058549514
PACK OF 12 RED APPLE TISSUES,base_stock,0.95,4543,15881,0.0,98.13697332372028,4498.512195121952,100.0,0.0,1.0,1.0,222.1799058549514
PACK OF 12 RED APPLE TISSUES,min_max,0.95,4543,15881,0.0,315.69036337418896,14470.967479674797,50.0,0.0,1.0,1.0,222.1799058549514
PACK OF 12 RED APPLE TISSUES,periodic_review,0.95,4543,15881,0.0,345.14828695025244,15821.292682926829,50.0,0.0,1.0,1.0,279.57025067482095
PACK OF 12 RED APPLE TISSUES,hybrid,0.95,4543,15881,0.0,345.14828695025244,15821.292682926829,50.0,0.0,1.0,1.0,279.57025067482095
