Description,average,sd,total_sales,total_revenue,avg_unit_price,product_mix,service_level,lead_time_days,lead_time_sd_days,ordering_cost_per_order,holding_rate,unit_cost,unit_cost_is_real,safety_stock_fixed_leadtime,reorder_point_fixed_leadtime,safety_stock_variable_leadtime,reorder_point_variable_leadtime,demand_lead_time,safety_stock_uplift_pct,safety_stock_investment,annual_demand,eoq_units,eoq_order_cycle_weeks,eoq_practical_units,annual_ordering_cost,annual_holding_cost,annual_logistics_cost
Regency Cakestand Tier,28.5,38.890872965260115,57,625.9499999999999,10.981578947368419,A_A,0.95,24.0,6.5,62.08,0.268,7.891680000000001,True,313.3867058183283,997.3867058183283,437.1028299680164,1121.1028299680165,684.0,39.47714496268608,3449.475661201996,10402.5,781.4614949164434,3.906368443706326,400.09615384615387,826.3839027270946,826.3839027270947,83745.9690054542
Doormat Spotty Home Sweet Home,20.0,0.0,20,135.0,6.75,A_A,0.95,22.0,6.7,70.95,0.299,4.7503,True,0.0,440.0,220.41038601149728,660.4103860114973,440.0,,1047.0154566704155,7300.0,853.9973335471013,6.083268677321818,561.5384615384615,606.483158265545,606.483158265545,35890.156316531094
Advent Calendar Gingham Sack,48.0,0.0,48,237.60000000000002,4.95,A_A,0.95,23.0,3.9,54.98,0.296,3.2967,True,0.0,1104.0,307.9165989653156,1411.9165989653156,1104.0,,1015.1086518089559,17520.0,1405.072865731006,4.170307592352301,1347.6923076923078,685.5513500354003,685.5513500354002,59129.2867000708
Pompom Curtain,24.0,0.0,24,142.8,5.95,A_A,0.95,23.0,5.1,32.88,0.272,3.7664,True,0.0,552.0,201.33008393886018,753.3300839388602,552.0,,758.289628147323,8760.0,749.8687975598801,4.451275967250431,673.8461538461539,384.1055941216166,384.1055941216165,33761.87518824323
Pantry Jelly Moulds,144.0,0.0,144,152.64000000000001,1.06,A_A,0.95,17.0,3.7,59.62,0.237,0.827325,True,0.0,2448.0,876.3780124397445,3324.3780124397445,2448.0,,725.0494391417116,52560.0,5653.617400452584,5.593380989793272,4043.0769230769233,554.2694133757878,554.2694133757878,44592.74082675157
Ceramic Christmas Reindeer,48.0,0.0,48,69.6,1.45,A_A,0.95,39.0,11.5,25.59,0.297,0.7742999999999999,True,0.0,1872.0,907.9592020772127,2779.9592020772125,1872.0,,703.0328101683857,17520.0,1974.623664376344,5.86075516824029,1347.6923076923078,227.04923884400048,227.04923884400054,14019.834477687999
Heart Wreath Decoration With Bell,84.0,84.8528137423857,168,179.76,1.0699999999999998,A_A,0.95,21.0,4.5,52.64,0.292,0.7041999999999999,True,639.5921905864911,2403.592190586491,891.9960992931502,2655.99609929315,1764.0,39.46325680981355,628.1436531222363,30660.0,3962.0465824208036,6.719713707954396,2358.4615384615386,407.3506876877465,407.3506876877465,22405.47337537549
Rabbit Night Light,48.0,33.94112549695428,96,171.84,1.79,A_A,0.95,29.0,5.1,68.47,0.244,1.1277,True,300.64396836527345,1692.6439683652734,502.5156778745649,1894.515677874565,1392.0,67.14643590122631,566.6869299391468,17520.0,2952.84403866007,8.764148973191988,2695.3846153846157,406.2505111324292,406.2505111324292,20569.80502226486
Red Retrospot Umbrella,18.0,0.0,18,107.10000000000001,5.95,A_A,0.95,19.0,5.1,73.01,0.281,3.6533,True,0.0,342.0,150.99756295414514,492.9975629541451,342.0,,551.6393967403785,6570.0,966.7029156157382,7.651225511722738,505.3846153846154,496.1976345074662,496.1976345074663,24994.57626901493
Jumbo Bag Strawberry,50.0,0.0,50,104.0,2.08,A_A,0.95,20.0,4.2,61.85,0.268,1.4456,True,0.0,1000.0,345.41926165980914,1345.419261659809,1000.0,,499.33808465542006,18250.0,2413.9308076279644,6.8780494244742,1403.8461538461538,467.603502317936,467.60350231793603,27317.407004635872
