Country,iso_year,iso_week,week_start,n_invoices,ATV,UPT,ASP,website_visitors,conversion_rate,footfall_aligned
All Countries,2009,49,2009-12-01,343,67.44317784256559,36.411078717201164,1.8522707983025062,23470,0.014614401363442693,True
All Countries,2009,50,2009-12-07,396,87.42070707070707,44.861111111111114,1.9486968758795382,37370,0.010596735349210597,True
All Countries,2009,51,2009-12-14,369,103.40894308943089,76.22764227642277,1.3565806313993172,28940,0.012750518313752592,True
All Countries,2009,52,2009-12-21,54,145.70462962962964,81.5925925925926,1.7857580571947345,38630,0.0013978772974372249,True
All Countries,2010,1,2010-01-04,157,212.04146496815287,117.6687898089172,1.8020195951066365,8810,0.01782065834279228,True
All Countries,2010,2,2010-01-11,193,118.45523316062176,60.870466321243526,1.9460214504596525,10100,0.01910891089108911,True
All Countries,2010,3,2010-01-18,212,91.55735849056603,79.39622641509433,1.1531701520912547,9020,0.02350332594235033,True
All Countries,2010,4,2010-01-25,236,93.72966101694915,58.59322033898305,1.599667341625687,11470,0.02057541412380122,True
All Countries,2010,5,2010-02-01,221,85.83927601809954,51.69683257918552,1.660435886214442,11400,0.0193859649122807,True
All Countries,2010,6,2010-02-08,207,64.52956521739131,39.43478260869565,1.6363616317530323,13120,0.015777439024390244,True
All Countries,2010,7,2010-02-15,224,113.19986607142857,119.98660714285714,0.9434375116270417,13330,0.016804201050262566,True
All Countries,2010,8,2010-02-22,240,106.94083333333333,67.43333333333334,1.5858749382105781,13640,0.017595307917888565,True
All Countries,2010,9,2010-03-01,288,93.90208333333334,67.38541666666667,1.3935074972947905,50930,0.005654820341645396,True
All Countries,2010,10,2010-03-08,221,83.41040723981901,59.64253393665158,1.3985054244746227,35990,0.006140594609613781,True
All Countries,2010,11,2010-03-15,268,104.73328358208956,149.91417910447763,0.6986215994225552,8260,0.0324455205811138,True
All Countries,2010,12,2010-03-22,300,86.1567,84.61666666666666,1.0182001181800278,12970,0.02313030069390902,True
All Countries,2010,13,2010-03-29,220,89.85199999999999,51.21363636363636,1.754454601934854,10910,0.02016498625114574,True
All Countries,2010,14,2010-04-06,222,94.55103603603602,62.34234234234234,1.5166423410404624,9960,0.022289156626506025,True
All Countries,2010,15,2010-04-12,237,92.60447257383966,58.46413502109704,1.5839535219399539,8470,0.027981109799291616,True
All Countries,2010,16,2010-04-19,293,81.05945392491468,51.59044368600683,1.5712106377348505,8110,0.036128236744759554,True
All Countries,2010,17,2010-04-26,306,90.29633986928104,51.58169934640523,1.7505499239736442,18190,0.016822429906542057,True
All Countries,2010,18,2010-05-04,250,98.8492,62.448,1.5829041762746605,16230,0.015403573629081947,True
All Countries,2010,19,2010-05-10,268,98.25955223880598,68.67164179104478,1.430860682460335,8050,0.03329192546583851,True
All Countries,2010,20,2010-05-17,253,87.73462450592885,59.383399209486164,1.4774267838125665,9190,0.027529923830250273,True
All Countries,2010,21,2010-05-24,271,81.0120295202952,67.54981549815498,1.1992931279361958,13310,0.020360631104432758,True
All Countries,2010,22,2010-06-01,192,77.29005208333334,51.770833333333336,1.4929265593561367,14170,0.013549752999294284,True
All Countries,2010,23,2010-06-07,340,107.80226470588234,64.69117647058823,1.6664137303932711,6990,0.04864091559370529,True
All Countries,2010,24,2010-06-14,256,85.4373828125,57.90625,1.4754432002158662,27110,0.009443009959424566,True
All Countries,2010,25,2010-06-21,225,72.68506666666667,42.33777777777778,1.7167898383371825,25190,0.008932115919015483,True
All Countries,2010,26,2010-06-28,279,88.98917562724014,59.157706093189965,1.5042702211451076,17740,0.015727170236753102,True
All Countries,2010,27,2010-07-05,244,88.87311475409837,44.51639344262295,1.996413183575769,16070,0.015183571873055383,True
All Countries,2010,28,2010-07-12,241,103.19041493775933,62.219917012448136,1.6584788262754249,16630,0.014491882140709561,True
All Countries,2010,29,2010-07-19,243,85.98925925925926,60.41152263374486,1.423391689373297,13800,0.017608695652173913,True
All Countries,2010,30,2010-07-26,232,104.29599137931035,48.84051724137931,2.1354399435177833,9310,0.024919441460794844,True
All Countries,2010,31,2010-08-02,224,95.51683035714287,55.5625,1.719088060421019,10410,0.021517771373679155,True
All Countries,2010,32,2010-08-09,230,115.19852173913043,152.0,0.7578850114416475,8160,0.028186274509803922,True
All Countries,2010,33,2010-08-16,242,103.26425619834711,71.39256198347107,1.4464287781443539,6720,0.03601190476190476,True
All Countries,2010,34,2010-08-23,250,94.08160000000001,67.652,1.3906698988943418,12760,0.019592476489028215,True
All Countries,2010,35,2010-08-31,190,90.54452631578947,54.38421052631579,1.6649046743443336,7210,0.026352288488210817,True
All Countries,2010,36,2010-09-06,256,73.6975,44.01171875,1.6744972042247273,8690,0.029459148446490217,True
All Countries,2010,37,2010-09-13,283,86.36667844522968,60.487632508833926,1.4278402850800327,7410,0.038191632928475036,True
All Countries,2010,38,2010-09-20,330,100.93242424242423,68.0909090909091,1.482318647085002,8360,0.039473684210526314,True
All Countries,2010,39,2010-09-27,399,117.9468671679198,146.99749373433585,0.802373320602878,9650,0.04134715025906736,True
All Countries,2010,40,2010-10-04,396,96.5894191919192,66.90656565656566,1.4436463483676167,11290,0.03507528786536758,True
All Countries,2010,41,2010-10-11,427,117.24372365339579,74.96487119437938,1.5639821930646676,10000,0.0427,True
All Countries,2010,42,2010-10-18,418,91.08578947368422,62.97607655502392,1.4463554171098618,7410,0.05641025641025641,True
All Countries,2010,43,2010-10-25,363,85.86490358126721,46.98622589531681,1.8274484052532831,10350,0.035072463768115944,True
All Countries,2010,44,2010-11-01,411,91.02997566909976,63.956204379562045,1.4233173552461387,10120,0.040612648221343875,True
All Countries,2010,45,2010-11-08,478,89.2423849372385,49.25941422594142,1.811681814320904,9520,0.05021008403361345,True
All Countries,2010,46,2010-11-15,498,85.24479919678716,54.38755020080321,1.5673586856193467,9970,0.04994984954864594,True
All Countries,2010,47,2010-11-22,506,71.6259486166008,43.66798418972332,1.6402394098479363,26020,0.019446579554189086,True
All Countries,2010,48,2010-11-29,465,89.84391397849463,52.77849462365592,1.7022826175535817,22980,0.020234986945169713,True
All Countries,2010,49,2010-12-06,389,80.41616966580978,39.66838046272493,2.02721080940963,12710,0.03060582218725413,True
All Countries,2010,50,2010-12-13,312,90.50766025641026,57.79807692307692,1.5659285753895638,12700,0.024566929133858266,True
All Countries,2010,51,2010-12-20,81,98.71827160493828,69.33333333333333,1.4238212250712252,28300,0.0028621908127208482,True
All Countries,2011,1,2011-01-04,185,107.05297297297297,74.92972972972973,1.4287115856297792,6910,0.026772793053545588,True
All Countries,2011,2,2011-01-10,190,105.11568421052631,65.15263157894736,1.613375878503918,5400,0.03518518518518519,True
All Countries,2011,3,2011-01-17,167,94.64065868263472,62.33532934131737,1.5182507204610949,5770,0.028942807625649915,True
All Countries,2011,4,2011-01-24,229,80.37615720524018,47.366812227074234,1.696887618696414,6820,0.033577712609970674,True
All Countries,2011,5,2011-01-31,217,77.83566820276498,49.193548387096776,1.5822332552693208,7870,0.027573062261753493,True
All Countries,2011,6,2011-02-07,161,86.2327950310559,48.98136645962733,1.760522444838955,7490,0.02149532710280374,True
All Countries,2011,7,2011-02-14,217,94.46188940092166,78.88479262672811,1.197466409627293,7750,0.028,True
All Countries,2011,8,2011-02-21,222,103.57905405405405,72.5945945945946,1.4268149664929262,20080,0.011055776892430279,True
All Countries,2011,9,2011-02-28,217,91.29138248847926,58.40092165898618,1.563183934348615,13020,0.016666666666666666,True
All Countries,2011,10,2011-03-07,217,76.73502304147465,44.95852534562212,1.7067958179581795,10040,0.021613545816733068,True
All Countries,2011,11,2011-03-14,241,89.599377593361,52.48547717842324,1.7071270456162542,9960,0.024196787148594377,True
All Countries,2011,12,2011-03-21,241,78.30107883817428,50.60995850622407,1.5471476592604738,9260,0.026025917926565875,True
All Countries,2011,13,2011-03-28,257,87.9166926070039,63.03501945525292,1.3947277777777778,7770,0.033075933075933074,True
All Countries,2011,14,2011-04-04,250,72.98496,49.308,1.4801849598442445,6220,0.04019292604501608,True
All Countries,2011,15,2011-04-11,275,80.56967272727273,52.53818181818182,1.533545127353267,17920,0.015345982142857142,True
All Countries,2011,16,2011-04-18,204,113.82759803921567,75.69607843137256,1.503744981220049,5330,0.03827392120075047,True
All Countries,2011,17,2011-04-26,148,90.18506756756756,71.02702702702703,1.2697288812785386,4430,0.033408577878103835,True
All Countries,2011,18,2011-05-03,268,70.44276119402986,47.615671641791046,1.4794028681137843,4790,0.055949895615866385,True
All Countries,2011,19,2011-05-09,301,88.65734219269103,51.21262458471761,1.731161855335712,4770,0.0631027253668763,True
All Countries,2011,20,2011-05-16,345,92.04307246376811,48.23768115942029,1.9081156111044344,6650,0.0518796992481203,True
All Countries,2011,21,2011-05-23,245,81.99244897959184,43.99183673469388,1.8638105399888665,11540,0.02123050259965338,True
All Countries,2011,22,2011-05-31,193,87.98160621761659,51.73575129533679,1.7005958938407613,13350,0.01445692883895131,True
All Countries,2011,23,2011-06-06,299,87.71665551839465,64.14715719063545,1.3674285714285712,23580,0.012680237489397795,True
All Countries,2011,24,2011-06-13,272,112.95180147058824,59.974264705882355,1.8833378287255562,16160,0.016831683168316833,True
All Countries,2011,25,2011-06-20,236,74.9235593220339,47.597457627118644,1.574108430517226,12260,0.019249592169657423,True
All Countries,2011,26,2011-06-27,193,75.9319170984456,49.13989637305699,1.54521931674399,15880,0.012153652392947103,True
All Countries,2011,27,2011-07-04,246,93.86829268292682,61.83739837398374,1.5179858006836706,9000,0.027333333333333334,True
All Countries,2011,28,2011-07-11,237,71.83518987341772,52.9662447257384,1.3562447223771208,5180,0.045752895752895754,True
All Countries,2011,29,2011-07-18,260,104.094,78.73461538461538,1.3220868545747644,7230,0.035961272475795295,True
