Description,sales,revenue,Country,sales_mix,comulative_sales,revenue_mix,comulative_revenue,sales_category,revenue_category,product_mix
Rabbit Night Light,960,1718.4,Australia,0.05085015096138567,0.05085015096138567,0.05873231305990766,0.05873231305990766,A,A,A_A
Tea Coffee Sugar Tins Pantry,240,996.0,Australia,0.012712537740346417,0.29196461676995605,0.03404177363109173,0.0927740866909994,A,A,A_A
Wall Art Bicycle Safety,180,963.0,Australia,0.009534403305259813,0.5066475978600561,0.03291388354090496,0.12568797023190437,A,A,A_A
School Milk Bottles In Crate,240,813.6,Australia,0.012712537740346417,0.3301022299909953,0.0278076174962412,0.15349558772814556,A,A,A_A
Abc Treasure Book Box,288,561.6,Australia,0.0152550452884157,0.2370888288574607,0.019194638625724014,0.17269022635386957,A,A,A_A
Blue Harmonica In Box,480,508.8,Australia,0.025425075480692835,0.10869219767996187,0.017390014481425173,0.19008024083529473,A,A,A_A
Biscuit Tin Vintage Green,84,499.80000000000007,Australia,0.004449388209121246,0.7898193760262725,0.01708240809319242,0.20716264892848715,A,A,A_A
Fairy Tale Cottage Nightlight,300,498.5999999999999,Australia,0.01589067217543302,0.20657873828062928,0.017041393908094712,0.22420404283658185,A,A,A_A
Vintage Donkey Tail Game,145,491.91,Australia,0.007680491551459293,0.5225912389427406,0.016812739826175035,0.2410167826627569,A,A,A_A
Full English Breakfast Plate,144,488.16,Australia,0.00762752264420785,0.5759838974521956,0.01668457049774472,0.25770135316050163,A,A,A_A
Jam Making With Jars,120,450.0,Australia,0.006356268870173209,0.650140367604216,0.015380319411637831,0.27308167257213944,A,A,A_A
Plasters In Tin Strongman,300,437.40000000000003,Australia,0.01589067217543302,0.19068806610519626,0.014949670468111973,0.2880313430402514,A,A,A_A
Dolly Girl Lunch Box,256,422.4,Australia,0.013560040256369511,0.2659039144022459,0.01443699315439071,0.30246833619464214,A,A,A_A
Buffalo Bill Treasure Book Box,216,421.2,Australia,0.011441283966311775,0.39159913130992113,0.014395978969293009,0.31686431516393515,A,A,A_A
Red Toadstool Led Night Light,288,417.6,Australia,0.0152550452884157,0.2523438741458764,0.014272936413999907,0.33113725157793505,A,A,A_A
Rose Cottage Keepsake Box,48,408.0,Australia,0.0025425075480692834,0.8661475713756022,0.0139448229332183,0.34508207451115336,B,A,B_A
Pantry Rolling Pin,120,406.8,Australia,0.006356268870173209,0.6310715609936965,0.0139038087481206,0.35898588325927394,A,A,A_A
Dolly Girl Mini Backpack,100,375.0,Australia,0.005296890725144341,0.6995073891625615,0.012816932843031526,0.3718028161023055,A,A,A_A
Knick Knack Tins Poppies,96,360.0,Australia,0.005085015096138567,0.7605805392234758,0.012304255529310264,0.3841070716316157,A,A,A_A
Wall Art Classic Puddings,48,357.6,Australia,0.0025425075480692834,0.8814026166640179,0.012222227159114864,0.3963292987907306,B,A,B_A
Regency Cakestand Tier,32,350.4,Australia,0.001695005032046189,0.9098998887652944,0.011976142048528657,0.40830544083925924,B,A,B_A
Vintage Christmas Cake Frill,240,348.0,Australia,0.012712537740346417,0.35552730547168815,0.011894113678333255,0.4201995545175925,A,A,A_A
Mini Paint Vintage,612,340.2,Australia,0.03241697123788336,0.08326712219926903,0.0116275214751982,0.4318270759927907,A,A,A_A
Button Box,200,330.0,Australia,0.010593781450288681,0.44456803856136445,0.011278900901867743,0.4431059768946584,A,A,A_A
Circus Parade Lunch Box,192,316.79999999999995,Australia,0.010170030192277133,0.49711319455479624,0.010827744865793031,0.45393372176045144,A,A,A_A
Travel Sewing Kit,200,290.0,Australia,0.010593781450288681,0.4869431643625191,0.009911761398611047,0.4638454831590625,A,A,A_A
Gymkhana Treasure Book Box,144,280.8,Australia,0.00762752264420785,0.5454738068753642,0.009597319312862007,0.4734428024719245,A,A,A_A
Treasure Island Book Box,144,280.8,Australia,0.00762752264420785,0.5912389427406113,0.009597319312862007,0.4830401217847865,A,A,A_A
Jam Jar With Pink Lid,384,276.48,Australia,0.020340060384554267,0.17479739392976323,0.009449668246510284,0.4924897900312968,A,A,A_A
Red Harmonica In Box,252,269.4,Australia,0.013348164627363738,0.27925207902960963,0.009207684554433847,0.5016974745857307,A,A,A_A
Pink Happy Birthday Bunting,56,265.20000000000005,Australia,0.0029662588060808304,0.8271094867312884,0.009064134906591897,0.5107616094923225,B,A,B_A
Blue Happy Birthday Bunting,53,248.85000000000002,Australia,0.0028073520843265,0.8299168388156148,0.008505316634635721,0.5192669261269582,B,A,B_A
Feltcraft Doll Molly,96,244.8,Australia,0.005085015096138567,0.7656655543196144,0.008366893759930981,0.5276338198868892,A,A,A_A
Red Retrospot Pudding Bowl,64,240.0,Australia,0.003390010064092378,0.8209650934901209,0.008202837019540176,0.5358366569064293,B,A,B_A
Red Retrospot Cake Stand,24,238.8,Australia,0.0012712537740346417,0.9291805710048191,0.008161822834442476,0.5439984797408718,B,A,B_A
Candles Vintage Doily,144,237.6,Australia,0.00762752264420785,0.5836114200964034,0.008120808649344774,0.5521192883902165,A,A,A_A
Baking Retrospot,51,218.85,Australia,0.0027014142698236136,0.8353726362625136,0.007479962007193198,0.5595992503974098,B,A,B_A
English Rose Placemats,72,212.4,Australia,0.003813761322103925,0.806133799459717,0.007259510762293056,0.5668587611597028,B,A,B_A
Round Container Retrospot,144,208.8,Australia,0.00762752264420785,0.5302187615869485,0.007136468206999954,0.5739952293667028,A,A,A_A
Ribbons Rustic Charm,144,208.8,Australia,0.00762752264420785,0.5607288521637799,0.007136468206999954,0.5811316975737028,A,A,A_A
Retrospot Tea Coffee Sugar,48,204.0,Australia,0.0025425075480692834,0.8534350336352557,0.00697241146660915,0.5881041090403119,B,A,B_A
Regency Teapot Roses,24,195.6,Australia,0.0012712537740346417,0.9380793474230612,0.006685312170925243,0.5947894212112371,B,A,B_A
Spaceboy Rocket Lolly Makers,102,184.32,Australia,0.005402828539647227,0.6677260448116952,0.006299778831006855,0.601089200042244,A,A,A_A
Pantry Apple Corer,144,180.0,Australia,0.00762752264420785,0.5378462842311563,0.006152127764655132,0.6072413278068991,A,A,A_A
Treasure Tin Buffalo Bill,97,179.68000000000004,Australia,0.0051379840033900104,0.7046453731659515,0.00614119064862908,0.6133825184555282,A,A,A_A
Jumbo Bag Toys,100,179.0,Australia,0.005296890725144341,0.6889136077122727,0.006117949277073715,0.6195004677326019,A,A,A_A
Jumbo Bag Vintage Leaf,100,179.0,Australia,0.005296890725144341,0.6942104984374171,0.006117949277073715,0.6256184170096757,A,A,A_A
Ribbon Reel Socks And Mittens,120,174.0,Australia,0.006356268870173209,0.6183590232533502,0.005947056839166628,0.6315654738488423,A,A,A_A
Ribbon Reel Making Snowmen,120,174.0,Australia,0.006356268870173209,0.6247152921235234,0.005947056839166628,0.637512530688009,A,A,A_A
Regency Cake Tins,40,172.4,Australia,0.002118756290057736,0.8929498384448326,0.0058923712590363605,0.6434049019470454,B,A,B_A
Food Cover With Beads,50,169.5,Australia,0.0026484453625721703,0.8380210816250857,0.005793253645050249,0.6491981555920956,B,A,B_A
Pantry Jelly Moulds,156,167.64,Australia,0.00826314953122517,0.5149107473912813,0.005729681658148813,0.6549278372502444,A,A,A_A
Round Cake Tin Vintage Green,24,166.8,Australia,0.0012712537740346417,0.9304518247788537,0.005700971728580423,0.6606288089788248,B,A,B_A
Feltcraft Princess Lola Doll,48,162.72,Australia,0.0025425075480692834,0.87377509401981,0.00556152349924824,0.666190332478073,B,A,B_A
Lunch Bag Spaceboy,110,161.5,Australia,0.005826579797658774,0.6623232162720479,0.0055198257443989105,0.6717101582224719,A,A,A_A
Wall Art Horse & Pony,48,157.92000000000002,Australia,0.0025425075480692834,0.8788601091159486,0.005397466758857437,0.6771076249813294,B,A,B_A
Wall Art Treasure Ahoy,48,157.92000000000002,Australia,0.0025425075480692834,0.8839451242120872,0.005397466758857437,0.6825050917401868,B,A,B_A
Wall Art Animals And Nature,48,157.92000000000002,Australia,0.0025425075480692834,0.8864876317601564,0.005397466758857437,0.6879025584990442,B,A,B_A
Jam Making Printed,120,154.8,Australia,0.006356268870173209,0.6564966364743892,0.005290829877603414,0.6931933883766477,A,A,A_A
Open Closed Metal Sign,36,153.0,Australia,0.0019068806610519624,0.9007892367180461,0.005229308599956862,0.6984226969766045,B,A,B_A
Lunch Bag Alphabet,100,145.0,Australia,0.005296890725144341,0.6836167169871283,0.004955880699305523,0.70337857767591,A,A,A_A
Lunch Bag Dolly Girl,100,145.0,Australia,0.005296890725144341,0.6730229355368396,0.004955880699305523,0.7083344583752156,A,A,A_A
Memo Board Cottage,32,141.6,Australia,0.001695005032046189,0.9082048837332481,0.0048396738415287036,0.7131741322167443,B,A,B_A
Regency Tea Plate Pink,96,139.2,Australia,0.005085015096138567,0.7249854335505058,0.004757645471333302,0.7179317776880776,A,A,A_A
Paper Bunting Retrospot,52,137.4,Australia,0.002754383177075057,0.83267122199269,0.004696124193686751,0.7226279018817643,B,A,B_A
Pencils Tube Skulls,128,135.68,Australia,0.006780020128184756,0.6056464855130039,0.004637337195046713,0.727265239076811,A,A,A_A
Doormat Christmas Village,20,135.0,Australia,0.001059378145028868,0.9546056464855112,0.004614095823491349,0.7318793349003023,C,A,C_A
Stripey Mice Feltcraft,80,132.0,Australia,0.004237512580115472,0.7985062768155092,0.004511560360747097,0.7363908952610494,A,A,A_A
Picture Dominoes,96,124.8,Australia,0.005085015096138567,0.7707505694157529,0.0042654752501608915,0.7406563705112102,A,A,A_A
Recipe Box Retrospot,48,122.4,Australia,0.0025425075480692834,0.8508925260871865,0.004183446879965491,0.7448398173911758,B,A,B_A
I Love London Beaker,96,120.0,Australia,0.005085015096138567,0.7148154033582287,0.004101418509770088,0.7489412359009459,A,A,A_A
