Description,availability,no_suppliers,standard,price_fluctuation,total_qty,total_spend,primary_supplier,risk_index,category
White Hanging Heart T-Light Holder,0.5,0.0,0.17857142857142858,0.3535714285714286,4293,7499.6838,Reliable Imports,1.0321428571428573,Strategic
Chilli Lights,0.36231884057971014,0.0,0.12318840579710146,0.5,2442,7124.808800000001,Metro Wholesale,0.9855072463768115,Strategic
Regency Cakestand Tier,0.5,0.0,0.25,0.09285714285714286,823,6288.4488,Evergreen Supply,0.8428571428571429,Strategic
Doormat Hearts,0.10714285714285714,0.0,0.10714285714285714,0.1357142857142857,1906,6214.2804,Gulf Source Co.,0.35,Leverage
Pink Paper Parasol,0.0,0.0,0.3125,0.1875,3704,5791.2009,Global Goods Ltd.,0.5,Leverage
Black Record Cover Frame,0.21176470588235294,0.0,0.15294117647058825,0.13529411764705881,2562,5761.0758,Prime Supply Partners,0.5,Leverage
Red Retrospot Cake Stand,0.21428571428571427,0.0,0.0,0.125,762,5539.7072,Reliable Imports,0.3392857142857143,Leverage
Jumbo Bag Strawberry,0.10714285714285714,0.0,0.12142857142857143,0.2714285714285714,4142,5119.9307,Summit Procurement,0.5,Leverage
Edwardian Parasol Black,0.25416666666666665,0.0,0.1375,0.1375,1729,5102.8229,Evergreen Supply,0.5291666666666667,Leverage
Colour Glass Star T-Light Holder,0.23113207547169812,0.0,0.2688679245283019,0.5,2679,5031.2193,Summit Procurement,1.0,Strategic
Vintage Union Jack Bunting,0.15,0.0,0.15,0.0,977,4966.260499999999,Summit Procurement,0.3,Leverage
Colours Silk Fan,0.33163265306122447,0.0,0.08163265306122448,0.33163265306122447,10681,4753.6829,ValueLink Distribution,0.7448979591836734,Leverage
Red Mini Dots Cutlery,0.5,0.0,0.0,0.25357142857142856,1800,4538.5696,ValueLink Distribution,0.7535714285714286,Leverage
Wood Black Board Ant White Finish,0.21785714285714286,0.0,0.09642857142857143,0.28214285714285714,1193,4303.5705,Gulf Source Co.,0.5964285714285714,Leverage
Colour Bird Ornament,0.5,0.0,0.11785714285714285,0.22142857142857142,3878,4298.6696,ValueLink Distribution,0.8392857142857143,Strategic
Red Harmonica In Box,0.2819548872180451,0.0,0.15037593984962405,0.0,5175,4210.0226999999995,Northstar Trading,0.4323308270676692,Leverage
Rabbit Night Light,0.36585365853658536,0.0,0.0,0.5,3401,3981.3102,Global Goods Ltd.,0.8658536585365854,Strategic
Party Bunting,0.28214285714285714,0.0,0.3678571428571429,0.28214285714285714,1248,3779.5631,Reliable Imports,0.9321428571428572,Strategic
Round Snack Boxes Of4 Woodland,0.13214285714285715,0.0,0.0,0.10357142857142858,1874,3762.3482,Evergreen Supply,0.2357142857142857,Leverage
Jumbo Bag Red Retrospot,0.21785714285714286,0.0,0.4107142857142857,0.14285714285714285,3060,3755.8056,Reliable Imports,0.7714285714285714,Leverage
Edwardian Parasol Natural,0.16153846153846155,0.0,0.16153846153846155,0.24615384615384617,1110,3719.5523999999996,Summit Procurement,0.5692307692307692,Leverage
Doormat Union Flag,0.23214285714285715,0.0,0.0,0.23214285714285715,807,3706.6497,ValueLink Distribution,0.4642857142857143,Leverage
Baking Retrospot,0.275,0.0,0.10714285714285714,0.1357142857142857,1054,3668.7520999999997,Evergreen Supply,0.5178571428571429,Leverage
Pink Mini Dots Cutlery,0.5,0.0,0.12857142857142856,0.20357142857142857,1435,3648.4211,ValueLink Distribution,0.8321428571428571,Strategic
Regency Teapot Roses,0.36885245901639346,0.0,0.2459016393442623,0.36885245901639346,625,3631.8931000000002,Evergreen Supply,0.9836065573770492,Strategic
Doormat Fancy Font Home Sweet Home,0.5,0.0,0.11194029850746269,0.25,919,3566.6427,Apex Merchants,0.8619402985074627,Strategic
Doormat Red Retrospot,0.22857142857142856,0.0,0.2714285714285714,0.12857142857142856,901,3527.0235000000002,Prime Supply Partners,0.6285714285714286,Leverage
Jumbo Bag Baroque Black White,0.0,0.0,0.0,0.325,2745,3526.4429,Northstar Trading,0.325,Leverage
Black Heart Card Holder,0.13924050632911392,0.0,0.0,0.0949367088607595,2516,3518.1223999999997,Global Goods Ltd.,0.23417721518987342,Leverage
Jumbo Bag Woodland Animals,0.2644927536231884,0.0,0.13768115942028986,0.0,2659,3403.2141,Prime Supply Partners,0.40217391304347827,Leverage
Red Toadstool Led Night Light,0.5,0.0,0.12142857142857143,0.5,3162,3396.8972000000003,Prime Supply Partners,1.1214285714285714,Strategic
Pink Happy Birthday Bunting,0.5,0.0,0.0,0.5,1353,3365.4932999999996,Evergreen Supply,1.0,Strategic
Babushka Nesting Boxes,0.3695652173913043,0.0,0.2554347826086957,0.34782608695652173,607,3359.0844,Apex Merchants,0.9728260869565217,Strategic
Paper Chain Kit S Christmas,0.3607142857142857,0.0,0.1392857142857143,0.5,2205,3330.3275,Metro Wholesale,1.0,Strategic
Vintage Red Kitchen Cabinet,0.21739130434782608,0.5,0.0,0.5,35,3323.1,Reliable Imports,1.2173913043478262,Strategic
Spotty Bunting,0.3678571428571429,0.0,0.23214285714285715,0.23214285714285715,978,3300.1434,Prime Supply Partners,0.8321428571428573,Strategic
Blue Mini Dots Cutlery,0.5,0.0,0.0,0.373134328358209,1325,3295.8369000000002,Reliable Imports,0.8731343283582089,Strategic
Cream Heart Card Holder,0.0,0.0,0.1392857142857143,0.22857142857142856,1874,3281.2734,ValueLink Distribution,0.3678571428571429,Leverage
Jumbo Bag Scandinavian Paisley,0.11071428571428571,0.0,0.15,0.3535714285714286,2588,3279.2571,Gulf Source Co.,0.6142857142857143,Leverage
Cook With Wine Metal Sign,0.11785714285714285,0.0,0.2357142857142857,0.13214285714285715,2677,3248.8957,Evergreen Supply,0.48571428571428565,Leverage
Tea Time Party Bunting,0.2376237623762376,0.0,0.12871287128712872,0.12871287128712872,1119,3211.3091,Northstar Trading,0.49504950495049505,Leverage
Hand Warmer Owl,0.16428571428571428,0.0,0.3357142857142857,0.0,2787,3203.1474,Northstar Trading,0.5,Leverage
